TH,TL,s,x/q0,y/q1,z/q2,bx/q4,by/acc_heading,bz,accuracy
0,119bc72f,9,17,-26,-999,,,,0
0,119bc72f,10,-8,-7,-18,,,,0
0,119bc72f,11,15,-927,-373,-2,0,,
0,119bc72f,3,316103,178456,984,,,,0
0,119bc72f,20,16,-927,-373,-2,0,,
0,119be4da,4,246,-24,-22,,,,3
0,119be4da,16,-427,732,-1220,-673,757,-1197,3
0,119be4da,1,17,-29,-1014,0,0,0,0
0,119be4da,2,6454,-6219,45267,,,,3
0,119be4da,14,-34200,-8700,29699,-40654,-2480,-15567,3
0,119b186f,16,-305,549,-1159,-673,757,-1197,3
0,119b186f,1,16,-37,-1035,0,0,0,0
0,119b186f,2,5854,-5469,46017,,,,3
0,119b186f,14,-34800,-7950,30449,-40654,-2480,-15567,3
0,119b186f,15,5,250,-968,15,0,,0
0,119b186f,9,17,-26,-999,,,,0
0,119b186f,10,-1,-10,-36,,,,0
0,119b186f,11,15,-927,-373,-2,0,,
0,119b186f,3,316087,178463,984,,,,0
0,119b186f,20,15,-927,-373,-2,0,,
0,119b3f1a,4,368,158,221,,,,3
0,119b3f1a,16,-305,915,-976,-673,757,-1197,3
0,119b3f1a,1,20,-35,-1012,0,0,0,0
0,119b3f1a,15,5,250,-968,15,0,,0
0,119b3f1a,9,17,-26,-999,,,,0
0,119b3f1a,10,3,-8,-12,,,,0
0,119b3f1a,11,15,-927,-373,-2,0,,
0,119b3f1a,3,316087,178456,984,,,,0
0,119b3f1a,20,16,-927,-374,-2,0,,
0,119b625f,4,-181,97,-205,,,,3
0,119b625f,16,-854,854,-1403,-673,757,-1197,3
0,119b625f,1,18,-25,-1027,0,0,0,0
0,119b625f,2,6304,-5919,45567,,,,3
0,119b625f,14,-34350,-8400,29999,-40654,-2480,-15567,3
0,119b625f,15,5,250,-968,15,0,,0
0,119b625f,9,17,-27,-999,,,,0
0,119b625f,10,0,1,-27,,,,0
0,119b625f,11,15,-927,-373,-2,0,,
0,119b625f,3,316082,178456,984,,,,0
0,119b625f,20,16,-927,-374,-2,0,,
0,119b7dfe,4,62,-391,-83,,,,3
0,119b7dfe,16,-610,366,-1281,-673,757,-1197,3
0,119b7dfe,1,27,-19,-1012,0,0,0,0
0,119b7dfe,15,5,250,-968,15,0,,0
0,119b7dfe,9,17,-26,-999,,,,0
0,119b7dfe,10,10,7,-12,,,,0
0,119b7dfe,11,15,-927,-373,-3,0,,
0,119b7dfe,3,316087,178463,991,,,,0
0,119b7dfe,20,16,-927,-373,-3,0,,
0,119ba278,4,-120,-329,99,,,,3
0,119ba278,16,-793,427,-1098,-673,757,-1197,3
0,119ba278,1,29,-25,-1023,0,0,0,0
0,119ba278,2,4804,-5469,43917,,,,3
0,119ba278,14,-35850,-7950,28349,-40654,-2480,-15567,3
0,119ba278,15,5,250,-968,15,0,,0
0,119ba278,9,17,-26,-999,,,,0
0,119ba278,10,12,1,-24,,,,0
0,119ba278,11,15,-927,-373,-3,0,,
0,119ba278,3,316096,178463,991,,,,0
0,119ba278,20,16,-927,-373,-3,0,,
0,119bc72f,4,1,-146,-144,,,,3
0,119bc72f,16,-671,610,-1342,-673,757,-1197,3
0,119bc72f,1,9,-34,-1018,0,0,0,0
0,119bc72f,15,5,250,-968,15,0,,0
0,119bc72f,9,17,-26,-999,,,,0
0,119bc72f,10,-8,-7,-18,,,,0
0,119bc72f,11,15,-927,-373,-2,0,,
0,119bc72f,3,316103,178456,984,,,,0
0,119bc72f,20,16,-927,-373,-2,0,,
0,119be4da,4,246,-24,-22,,,,3
0,119be4da,16,-427,732,-1220,-673,757,-1197,3
0,119be4da,1,17,-29,-1014,0,0,0,0
0,119be4da,2,6454,-6219,45267,,,,3
0,119be4da,14,-34200,-8700,29699,-40654,-2480,-15567,3
0,119c0725,4,551,463,99,,,,3
0,119c0725,16,-122,1220,-1098,-673,757,-1197,3
0,119c0725,1,36,-23,-1031,0,0,0,0
0,119c0725,15,5,250,-968,15,0,,0
0,119c0725,9,17,-26,-999,,,,0
0,119c0725,10,19,3,-31,,,,0
0,119c0725,11,15,-927,-373,-3,0,,
0,119c0725,3,316082,178463,991,,,,0
0,119c0725,20,15,-927,-374,-3,0,,
0,119c296d,4,-242,-85,-83,,,,3
0,119c296d,16,-915,671,-1281,-673,757,-1197,3
0,119c296d,1,28,-35,-1036,0,0,0,0
0,119c296d,2,3904,-5319,45117,,,,3
0,119c296d,14,-36750,-7800,29549,-40654,-2480,-15567,3
0,119c296d,15,5,250,-968,15,0,,0
0,119c296d,9,17,-26,-999,,,,0
0,119c296d,10,10,-8,-37,,,,0
0,119c296d,11,15,-927,-374,-3,0,,
0,119c296d,3,316073,178463,991,,,,0
0,119c296d,20,15,-927,-374,-3,0,,
0,119c4c9c,4,246,-85,-205,,,,3
0,119c4c9c,16,-427,671,-1403,-673,757,-1197,3
0,119c4c9c,1,13,-18,-1022,0,0,0,0
0,119c4c9c,15,5,250,-968,15,0,,0
0,119c4c9c,9,17,-26,-999,,,,0
0,119c4c9c,10,-3,8,-23,,,,0
0,119c4c9c,11,15,-927,-373,-3,0,,
0,119c4c9c,3,316090,178463,991,,,,0
0,119c4c9c,20,15,-927,-373,-3,0,,
0,119c6e01,4,-425,341,160,,,,3
0,119c6e01,16,-1098,1098,-1037,-673,757,-1197,3
0,119c6e01,1,15,-22,-1019,0,0,0,0
0,119c6e01,2,4504,-4569,42717,,,,3
0,119c6e01,14,-36150,-7050,27149,-40654,-2480,-15567,3
0,119c6e01,15,5,250,-968,15,0,,0
0,119c6e01,9,17,-26,-999,,,,0
0,119c6e01,10,-2,4,-19,,,,0
0,119c6e01,11,15,-927,-373,-3,0,,
0,119c6e01,3,316096,178463,991,,,,0
0,119c6e01,20,15,-927,-373,-3,0,,
0,119c9042,4,551,-207,160,,,,3
0,119c9042,16,-122,549,-1037,-673,757,-1197,3
0,119c9042,1,13,-29,-1017,0,0,0,0
0,119c9042,15,5,250,-968,15,0,,0
0,119c9042,9,17,-26,-999,,,,0
0,119c9042,10,-4,-2,-18,,,,0
0,119c9042,11,15,-927,-373,-3,0,,
0,119c9042,3,316108,178463,991,,,,0
0,119c9042,20,15,-927,-373,-3,0,,
0,119cb293,4,-669,-329,343,,,,3
0,119cb293,16,-1342,427,-854,-673,757,-1197,3
0,119cb293,1,22,-25,-1025,0,0,0,0
0,119cb293,2,5104,-6519,44667,,,,3
0,119cb293,14,-35550,-9000,29099,-40654,-2480,-15567,3
0,119cb293,15,5,250,-968,15,0,,0
0,119cb293,9,17,-26,-999,,,,0
0,119cb293,10,5,0,-26,,,,0
0,119cb293,11,15,-927,-373,-3,0,,
0,119cb293,3,316125,178470,991,,,,0
0,119cb293,20,15,-927,-373,-3,0,,
0,119cd4d7,4,-364,158,282,,,,3
0,119cd4d7,16,-1037,915,-915,-673,757,-1197,3
0,119cd4d7,1,10,-31,-1024,0,0,0,0
0,119cd4d7,15,5,250,-968,15,0,,0
0,119cd4d7,9,17,-26,-999,,,,0
0,119cd4d7,10,-6,-4,-24,,,,0
0,119cd4d7,11,15,-927,-373,-3,0,,
0,119cd4d7,3,316141,178470,991,,,,0
0,119cd4d7,20,15,-927,-373,-3,0,,
0,119cf722,4,-120,-24,99,,,,3
0,119cf722,16,-793,732,-1098,-673,757,-1197,3
0,119cf722,1,-3,-32,-1019,0,0,0,0
0,119cf722,2,5254,-5919,44067,,,,3
0,119cf722,14,-35400,-8400,28499,-40654,-2480,-15567,3
0,119cf722,15,5,250,-968,15,0,,0
0,119cf722,9,17,-26,-999,,,,0
0,119cf722,10,-20,-5,-19,,,,0
0,119cf722,11,15,-927,-373,-3,0,,
0,119cf722,3,316150,178470,984,,,,0
0,119cf722,20,14,-927,-373,-2,0,,
0,119d1965,4,185,97,282,,,,3
0,119d1965,16,-488,854,-915,-673,757,-1197,3
0,119d1965,1,23,-22,-1020,0,0,0,0
0,119d1965,15,5,250,-968,15,0,,0
0,119d1965,9,17,-26,-999,,,,0
0,119d1965,10,6,3,-21,,,,0
0,119d1965,11,15,-927,-373,-3,0,,
0,119d1965,3,316155,178470,984,,,,0
0,119d1965,20,14,-927,-373,-2,0,,
0,119d3bba,4,-120,97,38,,,,3
0,119d3bba,16,-793,854,-1159,-673,757,-1197,3
0,119d3bba,1,8,-30,-1018,0,0,0,0
0,119d3bba,2,6154,-3969,44217,,,,3
0,119d3bba,14,-34500,-6450,28649,-40654,-2480,-15567,3
0,119d3bba,15,5,250,-968,15,0,,0
0,119d3bba,9,17,-26,-999,,,,0
0,119d3bba,10,-8,-3,-18,,,,0
0,119d3bba,11,15,-927,-373,-2,0,,
0,119d3bba,3,316146,178470,984,,,,0
0,119d3bba,20,15,-927,-373,-2,0,,
0,119d5df7,4,62,-757,221,,,,3
0,119d5df7,16,-610,0,-976,-673,757,-1197,3
0,119d5df7,1,10,-28,-1020,0,0,0,0
0,119d5df7,15,4,250,-968,15,0,,0
0,119d5df7,9,17,-26,-999,,,,0
0,119d5df7,10,-6,-1,-20,,,,0
0,119d5df7,11,15,-927,-373,-2,0,,
0,119d5df7,3,316122,178463,984,,,,0
0,119d5df7,20,15,-927,-373,-2,0,,
0,119d804a,4,-242,-85,221,,,,3
0,119d804a,16,-915,671,-976,-673,757,-1197,3
0,119d804a,1,15,-26,-1032,0,0,0,0
0,119d804a,2,5254,-5619,45117,,,,3
0,119d804a,14,-35400,-8100,29549,-40654,-2480,-15567,3
0,119d804a,15,4,250,-968,15,0,,0
0,119d804a,9,17,-26,-999,,,,0
0,119d804a,10,-2,0,-32,,,,0
0,119d804a,11,15,-927,-373,-2,0,,
0,119d804a,3,316125,178463,984,,,,0
0,119d804a,20,15,-927,-373,-2,0,,
0,119da28d,4,185,-85,404,,,,3
0,119da28d,16,-488,671,-793,-673,757,-1197,3
0,119da28d,1,20,-28,-1017,0,0,0,0
0,119da28d,15,4,250,-968,15,0,,0
0,119da28d,9,17,-26,-999,,,,0
0,119da28d,10,3,-1,-18,,,,0
0,119da28d,11,15,-927,-373,-2,0,,
0,119da28d,3,316141,178463,984,,,,0
0,119da28d,20,15,-927,-373,-2,0,,
0,119dc4d8,4,123,-268,-144,,,,3
0,119dc4d8,16,-549,488,-1342,-673,757,-1197,3
0,119dc4d8,1,20,-32,-1024,0,0,0,0
0,119dc4d8,2,4954,-7119,44817,,,,3
0,119dc4d8,14,-35700,-9600,29249,-40654,-2480,-15567,3
0,119dc4d8,15,4,250,-968,15,0,,0
0,119dc4d8,9,17,-27,-999,,,,0
0,119dc4d8,10,3,-5,-25,,,,0
0,119dc4d8,11,15,-927,-373,-2,0,,
0,119dc4d8,3,316166,178456,984,,,,0
0,119dc4d8,20,16,-927,-373,-2,0,,
0,119de71d,4,185,-24,-694,,,,3
0,119de71d,16,-488,732,-1892,-673,757,-1197,3
0,119de71d,1,25,-20,-1020,0,0,0,0
0,119de71d,15,4,250,-968,15,0,,0
0,119de71d,9,17,-26,-999,,,,0
0,119de71d,10,8,6,-21,,,,0
0,119de71d,11,15,-927,-373,-2,0,,
0,119de71d,3,316176,178463,984,,,,0
0,119de71d,20,16,-927,-373,-2,0,,
0,119e096b,4,-242,-268,-267,,,,3
0,119e096b,16,-915,488,-1464,-673,757,-1197,3
0,119e096b,1,20,-33,-1027,0,0,0,0
0,119e096b,2,6454,-4419,46017,,,,3
0,119e096b,14,-34200,-6900,30449,-40654,-2480,-15567,3
0,119e096b,15,5,250,-968,15,0,,0
0,119e096b,9,17,-26,-999,,,,0
0,119e096b,10,2,-6,-27,,,,0
0,119e096b,11,15,-927,-373,-2,0,,
0,119e096b,3,316155,178463,984,,,,0
0,119e096b,20,16,-927,-373,-2,0,,
0,119e2d66,4,307,341,-267,,,,3
0,119e2d66,16,-366,1098,-1464,-673,757,-1197,3
0,119e2d66,1,27,-16,-1023,0,0,0,0
0,119e2d66,15,5,250,-968,15,0,,0
0,119e2d66,9,17,-26,-999,,,,0
0,119e2d66,10,10,10,-23,,,,0
0,119e2d66,11,15,-927,-373,-3,0,,
0,119e2d66,3,316155,178463,984,,,,0
0,119e2d66,20,15,-927,-373,-3,0,,
0,119e4dfd,4,-547,158,38,,,,3
0,119e4dfd,16,-1220,915,-1159,-673,757,-1197,3
0,119e4dfd,1,2,-21,-1013,0,0,0,0
0,119e4dfd,2,4054,-7269,44967,,,,3
0,119e4dfd,14,-36600,-9750,29399,-40654,-2480,-15567,3
0,119e4dfd,15,4,250,-968,15,0,,0
0,119e4dfd,9,17,-26,-999,,,,0
0,119e4dfd,10,-14,4,-13,,,,0
0,119e4dfd,11,15,-927,-373,-2,0,,
0,119e4dfd,3,316176,178463,984,,,,0
0,119e4dfd,20,15,-927,-373,-2,0,,
0,119e7047,4,-181,341,-633,,,,3
0,119e7047,16,-854,1098,-1831,-673,757,-1197,3
0,119e7047,1,19,-16,-1012,0,0,0,0
0,119e7047,15,5,250,-968,15,0,,0
0,119e7047,9,17,-26,-999,,,,0
0,119e7047,10,2,10,-13,,,,0
0,119e7047,11,15,-927,-372,-3,0,,
0,119e7047,3,316216,178470,984,,,,0
0,119e7047,20,14,-927,-372,-3,0,,
0,119e928d,4,1,-24,38,,,,3
0,119e928d,16,-671,732,-1159,-673,757,-1197,3
0,119e928d,1,15,-17,-1026,0,0,0,0
0,119e928d,2,4804,-5769,44667,,,,3
0,119e928d,14,-35850,-8250,29099,-40654,-2480,-15567,3
0,119e928d,15,4,250,-968,15,0,,0
0,119e928d,9,17,-26,-999,,,,0
0,119e928d,10,-2,9,-26,,,,0
0,119e928d,11,15,-927,-372,-3,0,,
0,119e928d,3,316239,178470,984,,,,0
0,119e928d,20,14,-927,-372,-2,0,,
0,119eb4d1,4,246,-85,-83,,,,3
0,119eb4d1,16,-427,671,-1281,-673,757,-1197,3
0,119eb4d1,1,30,-19,-1027,0,0,0,0
0,119eb4d1,15,5,250,-968,15,0,,0
0,119eb4d1,9,17,-26,-999,,,,0
0,119eb4d1,10,13,7,-28,,,,0
0,119eb4d1,11,15,-927,-372,-3,0,,
0,119eb4d1,3,316239,178470,984,,,,0
0,119eb4d1,20,14,-927,-372,-3,0,,
0,119ed722,4,62,-391,-22,,,,3
0,119ed722,16,-610,366,-1220,-673,757,-1197,3
0,119ed722,1,21,-31,-1024,0,0,0,0
0,119ed722,2,7804,-6369,44517,,,,3
0,119ed722,14,-32850,-8850,28949,-40654,-2480,-15567,3
0,119ed722,15,5,250,-968,15,0,,0
0,119ed722,9,17,-26,-999,,,,0
0,119ed722,10,4,-4,-25,,,,0
0,119ed722,11,15,-927,-372,-3,0,,
0,119ed722,3,316216,178470,984,,,,0
0,119ed722,20,15,-927,-372,-3,0,,
0,119efb78,4,-120,-207,404,,,,3
0,119efb78,16,-793,549,-793,-673,757,-1197,3
0,119efb78,1,3,-26,-1015,0,0,0,0
0,119efb78,15,5,250,-968,15,0,,0
0,119efb78,9,17,-26,-999,,,,0
0,119efb78,10,-13,0,-16,,,,0
0,119efb78,11,15,-927,-373,-3,0,,
0,119efb78,3,316195,178470,984,,,,0
0,119efb78,20,15,-927,-373,-3,0,,
0,119f1bf3,4,-364,97,-22,,,,3
0,119f1bf3,16,-1037,854,-1220,-673,757,-1197,3
0,119f1bf3,1,12,-12,-1023,0,0,0,0
0,119f1bf3,2,6154,-4419,45717,,,,3
0,119f1bf3,14,-34500,-6900,30149,-40654,-2480,-15567,3
0,119f1bf3,15,5,250,-968,15,0,,0
0,119f1bf3,9,17,-26,-999,,,,0
0,119f1bf3,10,-5,14,-24,,,,0
0,119f1bf3,11,15,-927,-373,-3,0,,
0,119f1bf3,3,316181,178470,984,,,,0
0,119f1bf3,20,14,-927,-373,-3,0,,
0,119f3df8,4,17,293,165,,,,3
0,119f3df8,16,-671,1037,-1037,-688,743,-1203,3
0,119f3df8,1,13,-34,-1026,0,0,0,0
0,119f3df8,15,5,250,-968,15,0,,0
0,119f3df8,9,17,-26,-999,,,,0
0,119f3df8,10,-3,-7,-26,,,,0
0,119f3df8,11,15,-927,-373,-3,0,,
0,119f3df8,3,316176,178470,984,,,,0
0,119f3df8,20,15,-927,-373,-3,0,,
0,119f6047,4,-288,171,165,,,,3
0,119f6047,16,-976,915,-1037,-688,743,-1203,3
0,119f6047,1,4,-31,-1018,0,0,0,0
0,119f6047,2,5404,-5469,46017,,,,3
0,119f6047,14,-35250,-7950,30449,-40654,-2480,-15567,3
0,119f6047,15,4,250,-968,15,0,,0
0,119f6047,9,17,-26,-999,,,,0
0,119f6047,10,-12,-4,-18,,,,0
0,119f6047,11,15,-927,-373,-2,0,,
0,119f6047,3,316181,178470,977,,,,0
0,119f6047,20,15,-927,-373,-2,0,,
0,119f8285,4,-104,659,-322,,,,3
0,119f8285,16,-793,1403,-1525,-688,743,-1203,3
0,119f8285,1,13,-35,-1023,0,0,0,0
0,119f8285,15,4,250,-968,15,0,,0
0,119f8285,9,17,-26,-999,,,,0
0,119f8285,10,-3,-8,-23,,,,0
0,119f8285,11,15,-927,-373,-2,0,,
0,119f8285,3,316187,178470,984,,,,0
0,119f8285,20,15,-927,-373,-2,0,,
0,119fa4db,4,261,415,-78,,,,3
0,119fa4db,16,-427,1159,-1281,-688,743,-1203,3
0,119fa4db,1,16,-20,-1020,0,0,0,0
0,119fa4db,2,6004,-6369,44067,,,,3
0,119fa4db,14,-34650,-8850,28499,-40654,-2480,-15567,3
0,119fa4db,15,4,250,-968,15,0,,0
0,119fa4db,9,17,-26,-999,,,,0
0,119fa4db,10,-1,6,-21,,,,0
0,119fa4db,11,15,-927,-373,-2,0,,
0,119fa4db,3,316187,178470,977,,,,0
0,119fa4db,20,15,-927,-373,-2,0,,
0,119fc719,4,627,-72,43,,,,3
0,119fc719,16,-61,671,-1159,-688,743,-1203,3
0,119fc719,1,16,-33,-1016,0,0,0,0
0,119fc719,15,4,250,-968,15,0,,0
0,119fc719,9,17,-26,-999,,,,0
0,119fc719,10,0,-6,-16,,,,0
0,119fc719,11,15,-927,-373,-2,0,,
0,119fc719,3,316187,178463,984,,,,0
0,119fc719,20,15,-927,-373,-2,0,,
0,119fe967,4,-593,-72,-139,,,,3
0,119fe967,16,-1281,671,-1342,-688,743,-1203,3
0,119fe967,1,20,-24,-1022,0,0,0,0
0,119fe967,2,6454,-4719,44217,,,,3
0,119fe967,14,-34200,-7200,28649,-40654,-2480,-15567,3
0,119fe967,15,4,250,-968,15,0,,0
0,119fe967,9,17,-26,-999,,,,0
0,119fe967,10,2,1,-23,,,,0
0,119fe967,11,15,-927,-373,-2,0,,
0,119fe967,3,316166,178470,984,,,,0
0,119fe967,20,15,-927,-373,-2,0,,
0,11a00bb3,4,261,-438,-17,,,,3
0,11a00bb3,16,-427,305,-1220,-688,743,-1203,3
0,11a00bb3,1,21,-28,-1007,0,0,0,0
0,11a00bb3,15,5,250,-968,15,0,,0
0,11a00bb3,9,17,-26,-999,,,,0
0,11a00bb3,10,4,-1,-7,,,,0
0,11a00bb3,11,15,-927,-373,-3,0,,
0,11a00bb3,3,316155,178470,984,,,,0
0,11a00bb3,20,15,-927,-373,-3,0,,
0,11a02dfb,4,505,49,-78,,,,3
0,11a02dfb,16,-183,793,-1281,-688,743,-1203,3
0,11a02dfb,1,17,-20,-1023,0,0,0,0
0,11a02dfb,2,5104,-5769,44967,,,,3
