TH,TL,s,x/q0,y/q1,z/q2,bx/q4,by/acc_heading,bz,accuracy
0,497041f,4,347,-114,32,,,,3
0,497041f,16,-244,732,-1159,-591,846,-1192,3
0,497041f,1,20,-18,-1027,0,0,0,0
0,497041f,15,6,240,-970,14,0,,0
0,497041f,9,18,-25,-999,,,,0
0,497041f,10,2,7,-27,,,,0
0,497041f,11,15,-957,-288,-5,0,,
0,497041f,3,326499,178533,1068,,,,0
0,497041f,20,14,-957,-288,-4,0,,
0,4972446,4,530,-114,154,,,,3
0,4972446,16,-61,732,-1037,-591,846,-1192,3
0,4972446,1,28,-35,-1013,0,0,0,0
0,4972446,2,6156,-6097,40405,,,,3
0,4972446,14,-32550,-7800,23399,-38706,-1702,-17005,3
0,4972446,15,6,240,-970,14,0,,0
0,4972446,9,18,-25,-999,,,,0
0,4972446,10,9,-9,-14,,,,0
0,4972446,11,15,-957,-288,-5,0,,
0,4972446,3,326487,178533,1075,,,,0
0,4972446,20,15,-957,-288,-4,0,,
0,4974aa7,4,-263,-53,-272,,,,3
0,4974aa7,16,-854,793,-1464,-591,846,-1192,3
0,4974aa7,1,11,-28,-1015,0,0,0,0
0,4974aa7,15,6,240,-970,14,0,,0
0,4974aa7,9,18,-25,-999,,,,0
0,4974aa7,10,-7,-2,-16,,,,0
0,4974aa7,11,15,-957,-288,-5,0,,
0,4974aa7,3,326456,178533,1075,,,,0
0,4974aa7,20,15,-957,-288,-4,0,,
0,497690a,4,-80,-175,-89,,,,3
0,497690a,16,-671,671,-1281,-591,846,-1192,3
0,497690a,1,20,-20,-1018,0,0,0,0
0,497690a,2,4806,-6397,43105,,,,3
0,497690a,14,-33900,-8100,26099,-38706,-1702,-17005,3
0,497690a,15,6,240,-970,14,0,,0
0,497690a,9,18,-25,-999,,,,0
0,497690a,10,1,5,-18,,,,0
0,497690a,11,15,-957,-288,-5,0,,
0,497690a,3,326447,178533,1068,,,,0
0,497690a,20,15,-957,-288,-4,0,,
0,4978b10,4,-324,-419,-28,,,,3
0,4978b10,16,-915,427,-1220,-591,846,-1192,3
0,4978b10,1,19,-37,-1018,0,0,0,0
0,4978b10,15,6,240,-970,14,0,,0
0,4978b10,9,18,-25,-999,,,,0
0,4978b10,10,0,-11,-18,,,,0
0,4978b10,11,15,-957,-288,-5,0,,
0,4978b10,3,326447,178526,1075,,,,0
0,4978b10,20,15,-957,-288,-4,0,,
0,497ad61,4,102,312,276,,,,3
0,497ad61,16,-488,1159,-915,-591,846,-1192,3
0,497ad61,1,20,-21,-1009,0,0,0,0
0,497ad61,2,4056,-8197,42355,,,,3
0,497ad61,14,-34650,-9900,25349,-38706,-1702,-17005,3
0,497ad61,15,6,240,-970,14,0,,0
0,497ad61,9,18,-25,-999,,,,0
0,497ad61,10,2,3,-9,,,,0
0,497ad61,11,15,-957,-288,-5,0,,
0,497ad61,3,326461,178533,1068,,,,0
0,497ad61,20,15,-957,-288,-4,0,,
0,497d602,4,-19,7,-333,,,,3
0,497d602,16,-610,854,-1525,-591,846,-1192,3
0,497d602,1,20,-28,-1021,0,0,0,0
0,497d602,15,5,240,-970,14,0,,0
0,497d602,9,18,-25,-999,,,,0
0,497d602,10,1,-2,-21,,,,0
0,497d602,11,15,-957,-288,-5,0,,
0,497d602,3,326471,178526,1068,,,,0
0,497d602,20,15,-957,-288,-4,0,,
0,497f1ee,4,41,7,-28,,,,3
0,497f1ee,16,-549,854,-1220,-591,846,-1192,3
0,497f1ee,1,20,-32,-1017,0,0,0,0
0,497f1ee,2,4806,-5647,42055,,,,3
0,497f1ee,14,-33900,-7350,25049,-38706,-1702,-17005,3
0,497f1ee,15,5,240,-970,14,0,,0
0,497f1ee,9,18,-25,-999,,,,0
0,497f1ee,10,1,-6,-17,,,,0
0,497f1ee,11,15,-957,-288,-5,0,,
0,497f1ee,3,326456,178526,1061,,,,0
0,497f1ee,20,15,-957,-288,-3,0,,
0,4981431,4,-324,129,93,,,,3
0,4981431,16,-915,976,-1098,-591,846,-1192,3
0,4981431,1,5,-27,-1032,0,0,0,0
0,4981431,15,5,240,-970,14,0,,0
0,4981431,9,18,-25,-999,,,,0
0,4981431,10,-13,-1,-33,,,,0
0,4981431,11,15,-957,-288,-5,0,,
0,4981431,3,326447,178526,1061,,,,0
0,4981431,20,15,-957,-288,-3,0,,
0,4983688,4,-263,-53,276,,,,3
0,4983688,16,-854,793,-915,-591,846,-1192,3
0,4983688,1,20,-32,-1015,0,0,0,0
0,4983688,2,4206,-6547,40855,,,,3
0,4983688,14,-34500,-8250,23849,-38706,-1702,-17005,3
0,4983688,15,5,240,-970,14,0,,0
0,4983688,9,18,-25,-999,,,,0
0,4983688,10,2,-6,-16,,,,0
0,4983688,11,15,-957,-288,-5,0,,
0,4983688,3,326442,178519,1054,,,,0
0,4983688,20,15,-957,-288,-3,0,,
0,49858cb,4,225,-114,-28,,,,3
0,49858cb,16,-366,732,-1220,-591,846,-1192,3
0,49858cb,1,28,-22,-1029,0,0,0,0
0,49858cb,15,5,240,-970,14,0,,0
0,49858cb,9,18,-25,-999,,,,0
0,49858cb,10,10,2,-29,,,,0
0,49858cb,11,15,-957,-288,-5,0,,
0,49858cb,3,326442,178519,1061,,,,0
0,49858cb,20,15,-957,-288,-3,0,,
0,4987b0f,4,-19,129,-28,,,,3
0,4987b0f,16,-610,976,-1220,-591,846,-1192,3
0,4987b0f,1,22,-20,-1024,0,0,0,0
0,4987b0f,2,4206,-6547,42205,,,,3
0,4987b0f,14,-34500,-8250,25199,-38706,-1702,-17005,3
0,4987b0f,15,5,240,-970,14,0,,0
0,4987b0f,9,18,-25,-999,,,,0
0,4987b0f,10,3,4,-25,,,,0
0,4987b0f,11,15,-957,-288,-5,0,,
0,4987b0f,3,326442,178519,1061,,,,0
0,4987b0f,20,15,-957,-288,-4,0,,
0,4989d56,4,713,190,-28,,,,3
0,4989d56,16,122,1037,-1220,-591,846,-1192,3
0,4989d56,1,19,-27,-1025,0,0,0,0
0,4989d56,15,5,240,-970,14,0,,0
0,4989d56,9,18,-25,-999,,,,0
0,4989d56,10,0,-1,-25,,,,0
0,4989d56,11,15,-957,-288,-5,0,,
0,4989d56,3,326442,178519,1061,,,,0
0,4989d56,20,15,-957,-288,-4,0,,
0,498bfa0,4,-141,-53,215,,,,3
0,498bfa0,16,-732,793,-976,-591,846,-1192,3
0,498bfa0,1,18,-26,-1023,0,0,0,0
0,498bfa0,2,5106,-7447,41455,,,,3
0,498bfa0,14,-33600,-9150,24449,-38706,-1702,-17005,3
0,498bfa0,15,5,240,-970,14,0,,0
0,498bfa0,9,18,-25,-999,,,,0
0,498bfa0,10,0,0,-23,,,,0
0,498bfa0,11,15,-957,-288,-5,0,,
0,498bfa0,3,326437,178519,1061,,,,0
0,498bfa0,20,15,-957,-288,-4,0,,
0,498e1e6,4,-934,129,398,,,,3
0,498e1e6,16,-1525,976,-793,-591,846,-1192,3
0,498e1e6,1,29,-29,-1027,0,0,0,0
0,498e1e6,15,5,240,-970,14,0,,0
0,498e1e6,9,18,-25,-999,,,,0
0,498e1e6,10,10,-3,-28,,,,0
0,498e1e6,11,15,-957,-288,-5,0,,
0,498e1e6,3,326431,178519,1061,,,,0
0,498e1e6,20,15,-957,-288,-4,0,,
0,4990437,4,286,251,215,,,,3
0,4990437,16,-305,1098,-976,-591,846,-1192,3
0,4990437,1,7,-26,-1029,0,0,0,0
0,4990437,2,4956,-6997,41605,,,,3
0,4990437,14,-33750,-8700,24599,-38706,-1702,-17005,3
0,4990437,15,5,240,-970,14,0,,0
0,4990437,9,18,-25,-999,,,,0
0,4990437,10,-10,0,-30,,,,0
0,4990437,11,15,-957,-288,-5,0,,
0,4990437,3,326431,178519,1061,,,,0
0,4990437,20,15,-957,-288,-4,0,,
0,499267a,4,-80,-236,215,,,,3
0,499267a,16,-671,610,-976,-591,846,-1192,3
0,499267a,1,17,-28,-1025,0,0,0,0
0,499267a,15,5,240,-970,14,0,,0
0,499267a,9,18,-26,-999,,,,0
0,499267a,10,0,-2,-25,,,,0
0,499267a,11,15,-957,-288,-5,0,,
0,499267a,3,326421,178519,1061,,,,0
0,499267a,20,16,-957,-288,-4,0,,
0,49948c0,4,41,-297,-455,,,,3
0,49948c0,16,-549,549,-1647,-591,846,-1192,3
0,49948c0,1,20,-31,-1024,0,0,0,0
