TH,TL,s,x/q0,y/q1,z/q2,bx/q4,by/acc_heading,bz,accuracy
0,1b96d2a0,9,17,-25,-999,,,,0
0,1b96d2a0,10,-3,7,-25,,,,0
0,1b96d2a0,11,14,-978,-205,-5,0,,
0,1b96d2a0,3,336235,178540,991,,,,0
0,1b96d2a0,20,14,-978,-205,-6,0,,
0,1b9603db,10,1,0,-17,,,,0
0,1b9603db,11,14,-978,-205,-5,0,,
0,1b9603db,3,336235,178540,991,,,,0
0,1b9603db,20,14,-978,-205,-5,0,,
0,1b962600,4,82,150,150,,,,3
0,1b962600,16,-610,854,-1037,-692,703,-1188,3
0,1b962600,1,24,-23,-1018,0,0,0,0
0,1b962600,2,3295,-3698,45376,,,,3
0,1b962600,14,-34350,-7800,32699,-37645,-4101,-12676,3
0,1b962600,15,7,94,-995,13,0,,0
0,1b962600,9,17,-25,-999,,,,0
0,1b962600,10,7,1,-19,,,,0
0,1b962600,11,14,-978,-206,-5,0,,
0,1b962600,3,336204,178547,991,,,,0
0,1b962600,20,14,-978,-205,-6,0,,
0,1b964821,4,-101,-32,-459,,,,3
0,1b964821,16,-793,671,-1647,-692,703,-1188,3
0,1b964821,1,21,-32,-1024,0,0,0,0
0,1b964821,15,7,94,-995,13,0,,0
0,1b964821,9,17,-25,-999,,,,0
0,1b964821,10,4,-7,-25,,,,0
0,1b964821,11,14,-978,-206,-5,0,,
0,1b964821,3,336213,178540,998,,,,0
0,1b964821,20,14,-978,-205,-6,0,,
0,1b966d3c,4,82,-93,-398,,,,3
0,1b966d3c,16,-610,610,-1586,-692,703,-1188,3
0,1b966d3c,1,20,-37,-1017,0,0,0,0
0,1b966d3c,2,595,-3848,44176,,,,3
0,1b966d3c,14,-37050,-7950,31499,-37645,-4101,-12676,3
0,1b966d3c,15,7,94,-995,13,0,,0
0,1b966d3c,9,17,-25,-999,,,,0
0,1b966d3c,10,3,-12,-17,,,,0
0,1b966d3c,11,14,-978,-206,-5,0,,
0,1b966d3c,3,336218,178540,998,,,,0
0,1b966d3c,20,14,-978,-205,-6,0,,
0,1b969176,4,20,638,-93,,,,3
0,1b969176,16,-671,1342,-1281,-692,703,-1188,3
0,1b969176,1,18,-25,-1016,0,0,0,0
0,1b969176,15,7,94,-995,13,0,,0
0,1b969176,9,17,-25,-999,,,,0
0,1b969176,10,0,0,-17,,,,0
0,1b969176,11,14,-978,-205,-5,0,,
0,1b969176,3,336235,178540,991,,,,0
0,1b969176,20,14,-978,-205,-6,0,,
0,1b96b639,4,-528,-154,272,,,,3
0,1b96b639,16,-1220,549,-915,-692,703,-1188,3
0,1b96b639,1,23,-22,-1021,0,0,0,0
0,1b96b639,2,1945,-5498,44326,,,,3
0,1b96b639,14,-35700,-9600,31649,-37645,-4101,-12676,3
0,1b96b639,15,7,94,-995,13,0,,0
0,1b96b639,9,17,-25,-999,,,,0
0,1b96b639,10,5,3,-22,,,,0
0,1b96b639,11,14,-978,-205,-5,0,,
0,1b96b639,3,336235,178540,998,,,,0
0,1b96b639,20,14,-978,-205,-6,0,,
0,1b96d2a0,4,-284,211,89,,,,3
0,1b96d2a0,16,-976,915,-1098,-692,703,-1188,3
0,1b96d2a0,1,13,-18,-1025,0,0,0,0
0,1b96d2a0,15,7,94,-995,13,0,,0
0,1b96d2a0,9,17,-25,-999,,,,0
0,1b96d2a0,10,-3,7,-25,,,,0
0,1b96d2a0,11,14,-978,-205,-5,0,,
0,1b96d2a0,3,336235,178540,991,,,,0
0,1b96d2a0,20,14,-978,-205,-6,0,,
0,1b96f37e,4,-162,-32,-154,,,,3
0,1b96f37e,16,-854,671,-1342,-692,703,-1188,3
0,1b96f37e,1,5,-19,-1010,0,0,0,0
0,1b96f37e,2,1945,-3248,44626,,,,3
0,1b96f37e,14,-35700,-7350,31949,-37645,-4101,-12676,3
0,1b96f37e,15,7,94,-995,13,0,,0
0,1b96f37e,9,17,-25,-999,,,,0
0,1b96f37e,10,-12,6,-11,,,,0
0,1b96f37e,11,14,-978,-206,-5,0,,
0,1b96f37e,3,336218,178547,991,,,,0
0,1b96f37e,20,14,-978,-205,-5,0,,
0,1b9715be,4,-40,-398,28,,,,3
0,1b9715be,16,-732,305,-1159,-692,703,-1188,3
0,1b9715be,1,22,-18,-1013,0,0,0,0
0,1b9715be,15,7,94,-995,13,0,,0
0,1b9715be,9,17,-25,-999,,,,0
0,1b9715be,10,5,7,-13,,,,0
0,1b9715be,11,14,-978,-206,-5,0,,
0,1b9715be,3,336227,178547,998,,,,0
0,1b9715be,20,13,-978,-205,-6,0,,
0,1b973c0e,4,-406,-93,28,,,,3
0,1b973c0e,16,-1098,610,-1159,-692,703,-1188,3
0,1b973c0e,1,8,-27,-1024,0,0,0,0
0,1b973c0e,2,295,-5198,45526,,,,3
0,1b973c0e,14,-37350,-9300,32849,-37645,-4101,-12676,3
0,1b973c0e,15,7,94,-995,13,0,,0
0,1b973c0e,9,17,-25,-999,,,,0
0,1b973c0e,10,-8,-1,-24,,,,0
0,1b973c0e,11,14,-978,-205,-5,0,,
0,1b973c0e,3,336251,178547,998,,,,0
0,1b973c0e,20,14,-978,-205,-6,0,,
0,1b975a55,4,-162,-154,28,,,,3
0,1b975a55,16,-854,549,-1159,-692,703,-1188,3
0,1b975a55,1,2,-23,-1022,0,0,0,0
0,1b975a55,15,7,94,-995,13,0,,0
0,1b975a55,9,17,-25,-999,,,,0
0,1b975a55,10,-14,2,-23,,,,0
0,1b975a55,11,14,-978,-205,-5,0,,
0,1b975a55,3,336235,178547,991,,,,0
0,1b975a55,20,14,-978,-205,-5,0,,
0,1b977ca6,4,82,-276,-32,,,,3
0,1b977ca6,16,-610,427,-1220,-692,703,-1188,3
0,1b977ca6,1,18,-24,-1020,0,0,0,0
0,1b977ca6,2,445,-6248,44026,,,,3
0,1b977ca6,14,-37200,-10350,31349,-37645,-4101,-12676,3
0,1b977ca6,15,7,94,-995,13,0,,0
0,1b977ca6,9,17,-25,-999,,,,0
0,1b977ca6,10,1,0,-20,,,,0
0,1b977ca6,11,14,-978,-205,-5,0,,
0,1b977ca6,3,336228,178547,991,,,,0
0,1b977ca6,20,14,-978,-205,-5,0,,
0,1b979ee4,4,-101,-93,150,,,,3
0,1b979ee4,16,-793,610,-1037,-692,703,-1188,3
0,1b979ee4,1,13,-24,-1016,0,0,0,0
0,1b979ee4,15,7,94,-995,13,0,,0
0,1b979ee4,9,17,-25,-999,,,,0
0,1b979ee4,10,-3,1,-17,,,,0
0,1b979ee4,11,14,-978,-205,-5,0,,
0,1b979ee4,3,336267,178540,991,,,,0
0,1b979ee4,20,14,-978,-205,-5,0,,
0,1b97c136,4,-101,-154,-154,,,,3
0,1b97c136,16,-793,549,-1342,-692,703,-1188,3
0,1b97c136,1,28,-21,-1020,0,0,0,0
0,1b97c136,2,2395,-3398,44476,,,,3
0,1b97c136,14,-35250,-7500,31799,-37645,-4101,-12676,3
0,1b97c136,15,7,94,-995,13,0,,0
0,1b97c136,9,17,-25,-999,,,,0
0,1b97c136,10,11,4,-20,,,,0
0,1b97c136,11,14,-978,-205,-5,0,,
0,1b97c136,3,336251,178547,998,,,,0
0,1b97c136,20,14,-978,-205,-6,0,,
0,1b97e37a,4,-101,-337,-520,,,,3
0,1b97e37a,16,-793,366,-1708,-692,703,-1188,3
0,1b97e37a,1,19,-30,-1021,0,0,0,0
0,1b97e37a,15,7,94,-995,13,0,,0
0,1b97e37a,9,17,-25,-999,,,,0
0,1b97e37a,10,2,-5,-22,,,,0
0,1b97e37a,11,14,-978,-205,-5,0,,
0,1b97e37a,3,336235,178547,991,,,,0
0,1b97e37a,20,14,-978,-205,-5,0,,
0,1b9805c5,4,-101,150,333,,,,3
0,1b9805c5,16,-793,854,-854,-692,703,-1188,3
0,1b9805c5,1,19,-33,-1025,0,0,0,0
0,1b9805c5,2,1945,-3998,44326,,,,3
0,1b9805c5,14,-35700,-8100,31649,-37645,-4101,-12676,3
0,1b9805c5,15,7,94,-995,13,0,,0
0,1b9805c5,9,17,-25,-999,,,,0
0,1b9805c5,10,2,-7,-26,,,,0
0,1b9805c5,11,14,-978,-206,-5,0,,
0,1b9805c5,3,336228,178547,991,,,,0
0,1b9805c5,20,14,-978,-205,-6,0,,
0,1b98280c,4,20,-32,211,,,,3
0,1b98280c,16,-671,671,-976,-692,703,-1188,3
0,1b98280c,1,9,-36,-1024,0,0,0,0
0,1b98280c,15,7,94,-995,13,0,,0
0,1b98280c,9,17,-25,-999,,,,0
0,1b98280c,10,-8,-11,-25,,,,0
0,1b98280c,11,14,-978,-206,-5,0,,
0,1b98280c,3,336218,178540,991,,,,0
0,1b98280c,20,14,-978,-205,-5,0,,
0,1b984a57,4,-101,-154,-398,,,,3
0,1b984a57,16,-793,549,-1586,-692,703,-1188,3
0,1b984a57,1,10,-32,-1013,0,0,0,0
0,1b984a57,2,2095,-4898,44476,,,,3
0,1b984a57,14,-35550,-9000,31799,-37645,-4101,-12676,3
0,1b984a57,15,7,94,-995,13,0,,0
0,1b984a57,9,17,-25,-999,,,,0
0,1b984a57,10,-6,-7,-14,,,,0
0,1b984a57,11,14,-978,-206,-5,0,,
0,1b984a57,3,336218,178540,991,,,,0
0,1b984a57,20,14,-978,-205,-5,0,,
0,1b986f28,4,448,272,-276,,,,3
0,1b986f28,16,-244,976,-1464,-692,703,-1188,3
0,1b986f28,1,24,-21,-1030,0,0,0,0
0,1b986f28,15,7,94,-995,13,0,,0
0,1b986f28,9,17,-25,-999,,,,0
0,1b986f28,10,6,4,-31,,,,0
0,1b986f28,11,14,-978,-206,-5,0,,
0,1b986f28,3,336227,178547,991,,,,0
0,1b986f28,20,14,-978,-205,-5,0,,
0,1b988eed,4,-284,394,-886,,,,3
0,1b988eed,16,-976,1098,-2075,-692,703,-1188,3
0,1b988eed,1,15,-37,-1017,0,0,0,0
0,1b988eed,2,1495,-4748,44626,,,,3
0,1b988eed,14,-36150,-8850,31949,-37645,-4101,-12676,3
0,1b988eed,15,7,94,-995,13,0,,0
0,1b988eed,9,17,-25,-999,,,,0
0,1b988eed,10,-2,-11,-18,,,,0
0,1b988eed,11,14,-978,-205,-5,0,,
0,1b988eed,3,336235,178540,991,,,,0
0,1b988eed,20,14,-978,-205,-5,0,,
0,1b98b133,4,143,-154,-459,,,,3
0,1b98b133,16,-549,549,-1647,-692,703,-1188,3
0,1b98b133,1,26,-18,-1006,0,0,0,0
0,1b98b133,15,7,94,-995,13,0,,0
0,1b98b133,9,17,-25,-999,,,,0
0,1b98b133,10,8,7,-7,,,,0
0,1b98b133,11,14,-978,-205,-5,0,,
0,1b98b133,3,336242,178540,991,,,,0
0,1b98b133,20,14,-978,-205,-6,0,,
0,1b98d37b,4,265,89,394,,,,3
0,1b98d37b,16,-427,793,-793,-692,703,-1188,3
0,1b98d37b,1,7,-35,-1021,0,0,0,0
0,1b98d37b,2,2095,-3848,45526,,,,3
0,1b98d37b,14,-35550,-7950,32849,-37645,-4101,-12676,3
0,1b98d37b,15,7,94,-995,13,0,,0
0,1b98d37b,9,17,-25,-999,,,,0
0,1b98d37b,10,-10,-9,-21,,,,0
0,1b98d37b,11,14,-978,-205,-5,0,,
0,1b98d37b,3,336228,178540,991,,,,0
0,1b98d37b,20,14,-978,-205,-5,0,,
0,1b98f5c3,4,143,-337,-215,,,,3
0,1b98f5c3,16,-549,366,-1403,-692,703,-1188,3
0,1b98f5c3,1,24,-27,-1008,0,0,0,0
0,1b98f5c3,15,7,94,-995,13,0,,0
0,1b98f5c3,9,17,-25,-999,,,,0
0,1b98f5c3,10,7,-1,-9,,,,0
0,1b98f5c3,11,14,-978,-206,-5,0,,
0,1b98f5c3,3,336227,178540,998,,,,0
0,1b98f5c3,20,14,-978,-205,-6,0,,
0,1b991812,4,143,-32,-215,,,,3
0,1b991812,16,-549,671,-1403,-692,703,-1188,3
0,1b991812,1,28,-21,-1020,0,0,0,0
0,1b991812,2,1195,-3698,44626,,,,3
0,1b991812,14,-36450,-7800,31949,-37645,-4101,-12676,3
0,1b991812,15,7,94,-995,13,0,,0
0,1b991812,9,17,-25,-999,,,,0
0,1b991812,10,10,3,-20,,,,0
0,1b991812,11,14,-978,-206,-5,0,,
0,1b991812,3,336228,178547,998,,,,0
0,1b991812,20,14,-978,-205,-6,0,,
0,1b993a53,4,265,28,-215,,,,3
0,1b993a53,16,-427,732,-1403,-692,703,-1188,3
0,1b993a53,1,28,-32,-1016,0,0,0,0
0,1b993a53,15,7,94,-995,13,0,,0
0,1b993a53,9,17,-25,-999,,,,0
0,1b993a53,10,11,-7,-17,,,,0
0,1b993a53,11,14,-978,-206,-5,0,,
0,1b993a53,3,336218,178547,998,,,,0
0,1b993a53,20,14,-978,-205,-6,0,,
0,1b995ca4,4,143,-276,-32,,,,3
0,1b995ca4,16,-549,427,-1220,-692,703,-1188,3
0,1b995ca4,1,29,-25,-1027,0,0,0,0
0,1b995ca4,2,2245,-3698,43576,,,,3
0,1b995ca4,14,-35400,-7800,30899,-37645,-4101,-12676,3
0,1b995ca4,15,7,94,-995,13,0,,0
0,1b995ca4,9,17,-25,-999,,,,0
0,1b995ca4,10,11,0,-27,,,,0
0,1b995ca4,11,14,-978,-206,-5,0,,
0,1b995ca4,3,336211,178547,998,,,,0
0,1b995ca4,20,14,-978,-205,-7,0,,
0,1b997ee5,4,-284,-398,272,,,,3
0,1b997ee5,16,-976,305,-915,-692,703,-1188,3
0,1b997ee5,1,4,-33,-1022,0,0,0,0
0,1b997ee5,15,7,94,-995,13,0,,0
0,1b997ee5,9,17,-25,-999,,,,0
0,1b997ee5,10,-13,-8,-23,,,,0
0,1b997ee5,11,14,-978,-206,-5,0,,
0,1b997ee5,3,336188,178547,998,,,,0
0,1b997ee5,20,14,-978,-206,-6,0,,
0,1b99a137,4,-345,-398,89,,,,3
0,1b99a137,16,-1037,305,-1098,-692,703,-1188,3
0,1b99a137,1,16,-23,-1016,0,0,0,0
0,1b99a137,2,1195,-3698,44626,,,,3
0,1b99a137,14,-36450,-7800,31949,-37645,-4101,-12676,3
0,1b99a137,15,7,94,-995,13,0,,0
0,1b99a137,9,17,-25,-999,,,,0
0,1b99a137,10,0,1,-16,,,,0
0,1b99a137,11,14,-978,-206,-5,0,,
0,1b99a137,3,336181,178540,998,,,,0
0,1b99a137,20,14,-978,-206,-6,0,,
0,1b99c37a,4,-40,-276,-154,,,,3
0,1b99c37a,16,-732,427,-1342,-692,703,-1188,3
0,1b99c37a,1,9,-17,-1025,0,0,0,0
0,1b99c37a,15,7,94,-995,13,0,,0
0,1b99c37a,9,17,-25,-999,,,,0
0,1b99c37a,10,-7,7,-25,,,,0
0,1b99c37a,11,14,-978,-206,-5,0,,
0,1b99c37a,3,336181,178547,998,,,,0
0,1b99c37a,20,14,-978,-206,-6,0,,
0,1b99e5cb,4,82,-459,516,,,,3
0,1b99e5cb,16,-610,244,-671,-692,703,-1188,3
0,1b99e5cb,1,20,-23,-1017,0,0,0,0
0,1b99e5cb,2,1345,-4148,43876,,,,3
0,1b99e5cb,14,-36300,-8250,31199,-37645,-4101,-12676,3
0,1b99e5cb,15,7,94,-995,13,0,,0
0,1b99e5cb,9,17,-25,-999,,,,0
0,1b99e5cb,10,2,1,-17,,,,0
0,1b99e5cb,11,14,-978,-206,-5,0,,
0,1b99e5cb,3,336188,178547,998,,,,0
0,1b99e5cb,20,14,-978,-206,-6,0,,
0,1b9a0897,4,204,-32,455,,,,3
0,1b9a0897,16,-488,671,-732,-692,703,-1188,3
0,1b9a0897,1,24,-26,-1025,0,0,0,0
0,1b9a0897,15,7,94,-995,13,0,,0
0,1b9a0897,9,17,-25,-999,,,,0
0,1b9a0897,10,7,0,-26,,,,0
0,1b9a0897,11,14,-978,-206,-5,0,,
0,1b9a0897,3,336188,178547,998,,,,0
0,1b9a0897,20,14,-978,-206,-6,0,,
0,1b9a2a5b,4,-223,-93,333,,,,3
0,1b9a2a5b,16,-915,610,-854,-692,703,-1188,3
0,1b9a2a5b,1,5,-32,-1023,0,0,0,0
0,1b9a2a5b,2,1795,-4598,44176,,,,3
0,1b9a2a5b,14,-35850,-8700,31499,-37645,-4101,-12676,3
0,1b9a2a5b,15,7,94,-995,13,0,,0
0,1b9a2a5b,9,17,-25,-999,,,,0
0,1b9a2a5b,10,-12,-6,-23,,,,0
0,1b9a2a5b,11,14,-978,-206,-5,0,,
0,1b9a2a5b,3,336188,178547,998,,,,0
0,1b9a2a5b,20,14,-978,-206,-5,0,,
0,1b9a4ca0,4,326,516,-154,,,,3
0,1b9a4ca0,16,-366,1220,-1342,-692,703,-1188,3
0,1b9a4ca0,1,24,-24,-1018,0,0,0,0
0,1b9a4ca0,15,7,94,-995,13,0,,0
0,1b9a4ca0,9,17,-25,-999,,,,0
0,1b9a4ca0,10,6,0,-18,,,,0
0,1b9a4ca0,11,14,-978,-206,-5,0,,
0,1b9a4ca0,3,336204,178547,1005,,,,0
0,1b9a4ca0,20,14,-978,-205,-6,0,,
0,1b9a6eeb,4,-162,-32,-398,,,,3
0,1b9a6eeb,16,-854,671,-1586,-692,703,-1188,3
0,1b9a6eeb,1,18,-23,-1030,0,0,0,0
0,1b9a6eeb,2,-454,-4148,44176,,,,3
0,1b9a6eeb,14,-38100,-8250,31499,-37645,-4101,-12676,3
0,1b9a6eeb,15,7,94,-995,13,0,,0
0,1b9a6eeb,9,17,-25,-999,,,,0
0,1b9a6eeb,10,0,2,-31,,,,0
0,1b9a6eeb,11,14,-978,-205,-5,0,,
0,1b9a6eeb,3,336235,178547,998,,,,0
0,1b9a6eeb,20,14,-978,-205,-6,0,,
0,1b9a9137,4,143,211,211,,,,3
0,1b9a9137,16,-549,915,-976,-692,703,-1188,3
0,1b9a9137,1,29,-36,-1024,0,0,0,0
0,1b9a9137,15,7,94,-995,13,0,,0
0,1b9a9137,9,17,-25,-999,,,,0
0,1b9a9137,10,12,-11,-25,,,,0
0,1b9a9137,11,14,-978,-206,-5,0,,
0,1b9a9137,3,336204,178540,998,,,,0
0,1b9a9137,20,14,-978,-205,-6,0,,
0,1b9ab37c,4,-284,272,89,,,,3
0,1b9ab37c,16,-976,976,-1098,-692,703,-1188,3
0,1b9ab37c,1,16,-20,-1015,0,0,0,0
0,1b9ab37c,2,1345,-3848,45226,,,,3
0,1b9ab37c,14,-36300,-7950,32549,-37645,-4101,-12676,3
0,1b9ab37c,15,7,94,-995,13,0,,0
0,1b9ab37c,9,17,-25,-999,,,,0
0,1b9ab37c,10,-1,4,-15,,,,0
0,1b9ab37c,11,14,-978,-206,-5,0,,
0,1b9ab37c,3,336181,178540,998,,,,0
0,1b9ab37c,20,14,-978,-206,-6,0,,
0,1b9ad5c4,4,-40,150,89,,,,3
0,1b9ad5c4,16,-732,854,-1098,-692,703,-1188,3
0,1b9ad5c4,1,21,-21,-1026,0,0,0,0
0,1b9ad5c4,15,7,94,-995,13,0,,0
0,1b9ad5c4,9,17,-25,-999,,,,0
0,1b9ad5c4,10,4,3,-27,,,,0
0,1b9ad5c4,11,14,-978,-206,-5,0,,
0,1b9ad5c4,3,336181,178547,998,,,,0
0,1b9ad5c4,20,14,-978,-206,-6,0,,
0,1b9af811,4,-162,150,272,,,,3
0,1b9af811,16,-854,854,-915,-692,703,-1188,3
0,1b9af811,1,15,-21,-1013,0,0,0,0
0,1b9af811,2,1495,-3248,45676,,,,3
0,1b9af811,14,-36150,-7350,32999,-37645,-4101,-12676,3
0,1b9af811,15,7,94,-995,13,0,,0
0,1b9af811,9,17,-25,-999,,,,0
0,1b9af811,10,-1,3,-14,,,,0
0,1b9af811,11,14,-978,-206,-5,0,,
0,1b9af811,3,336174,178547,998,,,,0
0,1b9af811,20,14,-978,-206,-5,0,,
